,title,price,year,link,category,age
0,oriental ming style file cabinet,100,,https://charlottesville.craigslist.org/fuo/d/charlottesville-oriental-ming-style/7912641669.html,cabinet,
1,metal & wood dining table with attached swing chairs,700,,https://charlottesville.craigslist.org/fuo/d/charlottesville-metal-wood-dining-table/7905446372.html,table,
2,natuzzi leather sofa,900,,https://charlottesville.craigslist.org/fuo/d/charlottesville-natuzzi-leather-sofa/7909728367.html,sofa,
3,piecrust edge chippendale tilt top occasional table,200,,https://charlottesville.craigslist.org/fuo/d/louisa-piecrust-edge-chippendale-tilt/7908840265.html,table,
4,desk /work table,20,,https://charlottesville.craigslist.org/fuo/d/louisa-desk-work-table/7909048415.html,desk,
5,unique chairs,35,,https://charlottesville.craigslist.org/fuo/d/louisa-unique-chairs/7894370574.html,chair,
6,desk with drawer,20,,https://charlottesville.craigslist.org/fuo/d/louisa-desk-with-drawer/7894366069.html,desk,
7,tv stand / entertainment center cabinet,25,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-tv-stand/7904656437.html,cabinet,
8,patio table,20,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-patio-table/7896004689.html,table,
9,arm chair,30,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-arm-chair/7898392579.html,chair,
10,vintage table with metal base,50,,https://charlottesville.craigslist.org/fuo/d/louisa-vintage-table-with-metal-base/7882957135.html,table,
11,mirror,10,,https://charlottesville.craigslist.org/fuo/d/troy-mirror/7882967708.html,mirror,
12,"5'  4"" beveled door mirror only 3 sides",30,,https://charlottesville.craigslist.org/fuo/d/troy-4-beveled-door-mirror-only-sides/7910191127.html,door,
13,framed 3 piece wall pictures,15,,https://charlottesville.craigslist.org/fuo/d/troy-framed-piece-wall-pictures/7897050811.html,missing,
14,wall/floor small bench display books/doll etc,10,,https://charlottesville.craigslist.org/fuo/d/troy-wall-floor-small-bench-display/7906037499.html,missing,
15,white pantry cabinet/jelly storage cabinet,20,,https://charlottesville.craigslist.org/fuo/d/troy-white-pantry-cabinet-jelly-storage/7881504308.html,cabinet,
16,pair wood white green seat stools,20,,https://charlottesville.craigslist.org/fuo/d/troy-pair-wood-white-green-seat-stools/7906657807.html,missing,
17,mcm inspired vintage mobican chest of drawers and dresser with mirror,800,,https://charlottesville.craigslist.org/fuo/d/charlottesville-mcm-inspired-vintage/7909080652.html,dresser,
18,vintage cedar chest,90,,https://charlottesville.craigslist.org/fuo/d/troy-vintage-cedar-chest/7897415090.html,missing,
19,3 little monkey framed picture,10,,https://charlottesville.craigslist.org/fuo/d/troy-little-monkey-framed-picture/7907414933.html,missing,
20,vintage teak plantation chair with swing-out arms,525,,https://charlottesville.craigslist.org/fuo/d/scottsville-vintage-teak-plantation/7895752899.html,chair,
21,red upolstered chair,30,,https://charlottesville.craigslist.org/fuo/d/charlottesville-red-upolstered-chair/7886191473.html,chair,
22,"bundle: tempur-pedic mattress, coffee table, framed pictures",1600,,https://charlottesville.craigslist.org/fuo/d/charlottesville-bundle-tempur-pedic/7886190699.html,missing,
23,"aubertin ""pit stop"" framed watercolor",375,,https://charlottesville.craigslist.org/fuo/d/charlottesville-aubertin-pit-stop/7886190947.html,missing,
24,rectangular coffee table with leaded glass,60,,https://charlottesville.craigslist.org/fuo/d/charlottesville-rectangular-coffee/7886191196.html,table,
25,"""home of the desert rat"" by maynard dixon",150,,https://charlottesville.craigslist.org/fuo/d/charlottesville-home-of-the-desert-rat/7886192644.html,missing,
26,tempur-pedic proadapt mattress full size,1300,,https://charlottesville.craigslist.org/fuo/d/charlottesville-tempur-pedic-proadapt/7886192932.html,missing,
27,2 kerosene lamps,10,,https://charlottesville.craigslist.org/fuo/d/troy-kerosene-lamps/7873833787.html,lamp,
28,1 old kerosene lamps no chimney,8,,https://charlottesville.craigslist.org/fuo/d/troy-old-kerosene-lamps-no-chimney/7873833827.html,lamp,
29,football lamp,10,,https://charlottesville.craigslist.org/fuo/d/troy-football-lamp/7874712141.html,lamp,
30,lamp ruffle shade glass,5,,https://charlottesville.craigslist.org/fuo/d/louisa-lamp-ruffle-shade-glass/7875716848.html,lamp,
31,desk lamp goose neck/base holder,10,,https://charlottesville.craigslist.org/fuo/d/troy-desk-lamp-goose-neck-base-holder/7875720348.html,desk,
32,vintage floor glass table lamp,75,,https://charlottesville.craigslist.org/fuo/d/troy-vintage-floor-glass-table-lamp/7877431604.html,table,
33,2 older lamps,10,,https://charlottesville.craigslist.org/fuo/d/troy-older-lamps/7881630220.html,lamp,
34,old cape cod stoneware lamp,20,,https://charlottesville.craigslist.org/fuo/d/troy-old-cape-cod-stoneware-lamp/7881659154.html,lamp,
35,lamps working condition,7,,https://charlottesville.craigslist.org/fuo/d/troy-lamps-working-condition/7881660509.html,lamp,
36,vintage decorative base tall table lamp,40,,https://charlottesville.craigslist.org/fuo/d/troy-vintage-decorative-base-tall-table/7890279277.html,table,
37,metal decorative old floor lamp,10,,https://charlottesville.craigslist.org/fuo/d/troy-metal-decorative-old-floor-lamp/7908903505.html,lamp,
38,microwave cart,20,,https://charlottesville.craigslist.org/fuo/d/troy-microwave-cart/7885919258.html,microwave,
39,special new box tv cart,20,,https://charlottesville.craigslist.org/fuo/d/troy-special-new-box-tv-cart/7893304043.html,missing,
40,microwave/tv stand/ dresser or electronic equipment,50,,https://charlottesville.craigslist.org/fuo/d/troy-microwave-tv-stand-dresser-or/7912541294.html,dresser,
41,metal 6' tower stand 4 glass shelves,50,,https://charlottesville.craigslist.org/fuo/d/troy-metal-tower-stand-glass-shelves/7874123033.html,missing,
42,microwave stand,30,,https://charlottesville.craigslist.org/fuo/d/troy-microwave-stand/7892463545.html,microwave,
43,backers rack small corner black metal,30,,https://charlottesville.craigslist.org/fuo/d/troy-backers-rack-small-corner-black/7894166635.html,missing,
